

model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0210915	3.9	0.30814886	-0.1932815	1	1	0.44829657	0.45783454	0.86849803	-1.0210915	0.080542414	0.52418574	3.6915942	0.89211003	-0.60428675	-1.5108163	-1.2682439	0.034092159	0.39352604	0.2786488	0.073251777	0.32248476	1.2327402	2.0976115	-4.174492	R0:N6:S0:1	27abe62	2021-10-20@15:22


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0210921	3.9	0.30813209	-0.1932798	1	1	0.44828915	0.45783294	0.8684984	-1.0210921	0.080541995	0.52419864	3.6915841	0.89210862	-0.60428531	-1.51082	-1.2682586	0.034092013	0.39353294	0.27865701	0.073252072	0.32248368	1.2327378	2.0976191	-4.1744812	R0:N6:S0:1	27abe62	2021-10-20@15:23


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0210924	3.9	0.30812719	-0.19327952	1	1	0.44828761	0.45783255	0.86849846	-1.0210924	0.08054187	0.52420298	3.6915809	0.89210808	-0.60428473	-1.5108221	-1.2682635	0.03409197	0.3935353	0.27865964	0.073252229	0.32248321	1.2327366	2.0976209	-4.17448	R0:N6:S0:1	27abe62	2021-10-20@15:24


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-0.96542931	4	1.1704736	-1.1704734	2	1	0.61223693	0.61223687	1	-0.96542931	0.10340357	0.098134515	3.9018655	1	-0.67525981	-0.84006546	-0.84006545	0.041570007	0.093155247	0.093155244	0.037671928	0.41917497	1.7750854	1.7750854	-10.004095	R0:N6:S0:1	27abe62	2021-10-20@15:24


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-0.96542931	4	1.1704729	-1.1704727	2	1	0.61223675	0.61223668	1	-0.96542931	0.10340356	0.098134515	3.9018655	1	-0.67525981	-0.84006544	-0.84006542	0.041570006	0.093155247	0.093155245	0.037671924	0.41917498	1.7750854	1.7750854	-10.004092	R0:N6:S0:1	27abe62	2021-10-20@15:26


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0130782	4	0.2913253	-0.18991195	1	1	0.44302083	0.45400586	0.86491734	-1.0130782	0.076994141	0.54293975	3.6837744	0.88664292	-0.59648677	-1.5175273	-1.2740189	0.032842612	0.40251729	0.2847668	0.073420345	0.3264893	1.2240974	2.123598	-4.1424352	R0:N6:S0:1	27abe62	2021-10-20@15:26


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0126695	4	0.29679255	-0.19105492	1	1	0.44444233	0.45527886	0.86456408	-1.0126695	0.077155201	0.53801472	3.6874591	0.88726307	-0.59705836	-1.51511	-1.2692404	0.032899586	0.39973055	0.28180142	0.073277653	0.3269839	1.2248207	2.1213776	-4.1474671	R0:N6:S0:1	27abe62	2021-10-20@15:36


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0130783	4	0.29132288	-0.18991204	1	1	0.44301948	0.4540062	0.86491722	-1.0130783	0.076994097	0.54294214	3.6837725	0.8866427	-0.59648645	-1.5175278	-1.2740222	0.032842597	0.40251844	0.28476836	0.073420423	0.32648905	1.2240968	2.1235991	-4.1424352	R0:N6:S0:1	27abe62	2021-10-20@16:40


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0130784	4	0.29132487	-0.18991375	1	1	0.44302074	0.45400726	0.86491729	-1.0130784	0.076994159	0.54294078	3.6837737	0.88664274	-0.59648646	-1.5175281	-1.2740214	0.032842619	0.40251758	0.28476732	0.073420474	0.32648901	1.2240959	2.1235978	-4.1424436	R0:N6:S0:1	bdc1e79	2021-10-27@12:40


