iterations	dist_function	distance	diff_hybrid	model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	version	time	dependent_parameters	
6	sharp_wc_2.0_b_50	 1.20e-04	 3.63e-05	1D_2_4b	-0.9661014	4	1.1438241	-1.1438239	2	1	0.60939833	0.60939828	1	-0.9661014	0.10367723	0.099838804	3.9001612	1	-0.67470015	-0.84600224	-0.84600223	0.0416604	0.094703557	0.094703556	0.038057271	0.41831011	1.7731342	1.7731342	-9.8979868	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
5	sharp_wc_2.0_b_50	 1.29e-04	 3.57e-05	1D_2_4b	-0.96609746	4	1.1918065	-1.0926174	1.95	1	0.60884693	0.60909732	1.0000051	-0.96609746	0.10367182	0.099840219	3.9001525	1.0000037	-0.67469996	-0.84593809	-0.84599099	0.04165859	0.09470509	0.094712521	0.038050005	0.4183218	1.7732068	1.7731856	-9.5927616	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
2	sharp_wc_2.0_b_50	 1.60e-04	 1.21e-05	1D_2_4b	-0.96606613	4	1.2368856	-1.0387987	1.9	1	0.60744823	0.60804281	1.0000123	-0.96606613	0.1036481	0.099820578	3.9001615	1.000009	-0.67470911	-0.84568512	-0.84581331	0.041650658	0.094688665	0.094706858	0.038021596	0.41837176	1.7734422	1.773389	-9.2762844	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
2	sharp_wc_2.0_b_50	 2.15e-04	 1.53e-05	1D_2_4b	-0.9660149	4	1.2778622	-0.98275953	1.85	1	0.60505701	0.60624042	1.0000166	-0.9660149	0.1035957	0.09982038	3.9001955	0.99999205	-0.67472239	-0.84537723	-0.84543393	0.041633307	0.094690071	0.094681074	0.037974634	0.41845362	1.7737113	1.7738551	-8.950085	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
1	sharp_wc_2.0_b_50	 3.03e-04	 2.94e-05	1D_2_4b	-0.9659462	4	1.3141425	-0.92471491	1.8	1	0.60158253	0.60371342	1.0000171	-0.9659462	0.10351071	0.09985711	3.900255	0.99994394	-0.67473725	-0.84506527	-0.84484724	0.041605301	0.094724745	0.094635508	0.037910149	0.4185647	1.7739658	1.7746289	-8.6150066	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
1	sharp_wc_2.0_b_50	 4.41e-04	 3.47e-05	1D_2_4b	-0.96586235	4	1.3447605	-0.86475385	1.75	1	0.59686376	0.60044063	1.0000126	-0.96586235	0.10338707	0.099957814	3.9003382	0.99985198	-0.67474954	-0.8448231	-0.8440455	0.041564701	0.094816716	0.094572704	0.037829139	0.41870175	1.7741422	1.7757798	-8.2713411	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
1	sharp_wc_2.0_b_50	 6.53e-04	 3.81e-05	1D_2_4b	-0.96576683	4	1.3685026	-0.80284907	1.7	1	0.59069884	0.5963584	0.99999878	-0.96576683	0.10321667	0.10015965	3.9004411	0.99969964	-0.67475344	-0.84475021	-0.84301924	0.041508901	0.094999125	0.09449772	0.037732767	0.4188606	1.7741618	1.7774007	-7.9188836	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
2	sharp_wc_2.0_b_50	 9.88e-04	 1.61e-05	1D_2_4b	-0.96566519	4	1.3836542	-0.73896355	1.65	1	0.5828199	0.59136106	0.99997129	-0.96566519	0.10298646	0.10052285	3.9005578	0.99945968	-0.67473966	-0.84501188	-0.84174958	0.041433705	0.095325667	0.094417794	0.037623207	0.41903403	1.7738927	1.7796409	-7.5573534	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
1	sharp_wc_2.0_b_50	 1.54e-03	 4.70e-05	1D_2_4b	-0.96555469	4	1.3887818	-0.67273164	1.6	1	0.57291546	0.58527522	0.99992717	-0.96555469	0.10268428	0.10108602	3.9006831	0.99911545	-0.67470355	-0.84566655	-0.84019819	0.041335127	0.095830855	0.09433999	0.037497104	0.41922594	1.7732918	1.7826405	-7.1850714	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
2	sharp_wc_2.0_b_50	 2.48e-03	 4.42e-05	1D_2_4b	-0.96543648	4	1.3805481	-0.60380555	1.55	1	0.56040936	0.5777515	0.99985417	-0.96543648	0.10227659	0.10196621	3.9008174	0.99860822	-0.67463094	-0.84698913	-0.83824613	0.041202273	0.096618861	0.09426882	0.037352321	0.41943439	1.7721234	1.7867734	-6.8002591	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
